"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1071780","N/D","OF-6","Deputy Director Defence Legal Services","To deliver high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071779","1483108","1","N/A","","","Military","","1"
"1071072","N/D","OF-7","Air Officer Commanding 22 Group","The Mission of 22(Trg)Gp is to underpin the military effectiveness of the RAF and the other Services by timely provision of appropriately trained military and civilian personnel. The end state is an organisation that delivers mentally and physically robust individuals with a war-fighting specialist mentality ready to integrate into front-line duties.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","69843382","1","100000","104999","","Military","","1"
"1072924","Air Vice Marshal Wiles","OF-7","Chief of Staff Personnel","The mission of COS Pers/ Air Sec is to manage the RAF's Servicemen and women and to provide the supporting policies to enable an agile, adaptable and capable Air Force.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","48297330","1","100000","104999","","Military","","1"
"1073645","N/D","OF-6","Air Officer Operations","Contingency planning for future, current & contingent air ops & policy development; EW, Information Exploitation & Decision Support advice; support to SF ops; management of Flight Safety, Meteorological and Fire services; co-ordinating Air participation i","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","18741706","1","N/A","","","Military","","1"
"1477107","N/D","OF-6","Joint Air Land Organisation (Army)","To provide the focus within the 3 Front Line Commands for Air/Land integration to better support operations.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","656662","1","N/A","","","Military","","1"
"1073288","N/D","OF-7","Chief Engineer/XO","Plan, focus, direct and sustain HQ Air's support, engineering, logistics and communications to physically assist operational commanders in generating all components of Air Power.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","3613369","1","100000","104999","","Military","","1"
"1072729","N/D","OF-6","Air Officer A4","To plan, develop and deliver sustainable engineering & logistic support and A4 Force Elements to operations for AIR in the UK and the expeditionary joint arena, including transformation, policy, manpower and commodities.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","68348222","1","N/A","","","Military","","1"
"1074865","N/D","OF-6","Air Officer A6","Generating relevant, timely, sustainable, assured and agile mission information solutions across the Air environment in the expeditionary joint arena and the UK.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","22565010","1","N/A","","","Military","","1"
"1071926","N/D","OF-7","Air Officer Commanding 1 Group","To generate and develop winning Combat Air Power for employment on Joint operations and to support the generation, development and sustainment of the RAF's Support Helicopter Force so that they can best meet the JHC Mission","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1617513","145251","1","100000","104999","","Military","","1"
"1071928","N/D","OF-6","Air Officer Combat Air","All aspects of current air operations, together with the standards and training required to ensure success.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","220521572","1","N/A","","","Military","","1"
"1366091","N/D","OF-6","Air Officer Battlespace Management","To generate and develop an adaptable and balanced Battlespace Management Force with the agility to play a key role in the delivery of air and space power.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","44209504","1","N/A","","","Military","","1"
"1072092","N/D","OF-7","Air Officer Commanding 2 Group/Chief of Staff (Operations) & SPT","Generate and Develop Effective Combat Support","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1617513","1571491","1","100000","104999","","Military","","1"
"1072100","N/D","OF-6","Air Officer Air Movements","The role of the Air Transport and Air-to-Air Refuelling force is to provide rapid strategic and tactical reach, including airborne delivery, in support of operations and exercises world-wide.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","138529293","1","N/A","","","Military","","1"
"1072102","N/D","OF-6","Air Officer ISTAR","Develop the RAF's ISTAR and SAR capabilities to best contribute to the achievement of precise effects across the spectrum, whenever and where ever they are required in support of the UK's foreign and defence policy.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","60514336","1","N/A","","","Military","","1"
"1072104","N/D","OF-6","Air Officer Force Protection","Force Protection is a fundamental enabler for air operations. It is delivered by the integration of the effects from a variety of specialist force elements and generic activity across the force.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","117188742","1","N/A","","","Military","","1"
"1071534","N/D","OF-6","Head Finance, Programmes, and Plans","Hd FPP manages the HQ AIR planning functions including; risk management, the development of HQ AIR’s input into the Planning Round (including Military priorities), strategic policy/planning, direction and advice on Force Structure Development, managing the Air Establishment Requirement, development of the Estate Rationalisation Plan and Manpower Planning. He also provides strategic advice for the HQ AIR Equipment Plan.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","162138","5171326","1","N/A","","","Military","","1"
"1071081","N/D","OF-6","Assistant Chief of Staff (Training)","Deputy to the AOC and responsible for the delivery of training, including timeliness, content and quality.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","18609427","1","N/A","","","Military","","1"
"162138","Mr G Lester","SCS2","Director of Resources, Air Command","To deliver resource management and corporate services which support the delivery of Air Command's outputs and uphold accountability to Ministers and Parliament.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","30825","1","85000","89999","","Finance","","1"
"162157","N/D","SCS1","Head Secretariat & Civilian Workforce, HQ Air Command","To deliver high quality secretariat and business management services to support Ministers, and the RAF and to provide, through the HR Directorate and the D Res Business Management Team, support to D Res, Air in his Civilian Workforce Advisor role.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","162138","997628","1","N/A","","","Policy","","1"
"1072923","N/D","OF-6","Assistant Chief of Staff Personnel Policy","Develop and implement employment and disciplinary policies that fit with the needs of our people and the demands of a modern, operational and agile service. ACOS Pers Pol also has the focus for Joint Personnel Administration, Community Support and the derivation of a Stress Management and Resilience Policy.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072924","3040688","1","N/A","","","Military","","1"
"1405168","N/D","OF-6","Assistant Chief of Staff (Manning)","The Primary role of the manning directorate, in apportioning manpower to fill establishments, is to balance the Service need with personal aspirations, within a framework of overall career management. The directorate manages the careers of all officers, non-commissioned aircrew and ground trades personnel.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072924","11347307","1","N/A","","","Military","","1"
"1463923","Air Vice Marshal Morrison","OF-7","Chief of Staff (Capability)","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071229","72934","1","100000","104999","","Military","","1"
"1479358","N/D","OF-6","Commandant Air Warfare Centre","To provide intelligence led integrated Air and Electronic Warfare Operational mission support to Defence-wide Units.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1072092","44844427","1","N/A","","","Military","","1"
"1027112","N/D","OF-6","Commanding Officer RAF Leuchars","To deliver and maintain UK ability for Quick Reaction to possible air attack in the North with the growth of the Typhoon, whilst supporting other Military Operation, with pride, agility, decisiveness and courage.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","0","1","N/A","","","Military","","1"
"1018322","N/D","OF-6","Air Cdre CAS AS","Assisting in generating a balanced and integrated Royal Air Force capability and for maintaining the fighting effectiveness and morale of the Service including the development of policy.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1017733","5011926","1","N/A","","","Military","","1"
"1023653","N/D","OF-6","Commandant RAF College Cranwell & DRIT","To recruit and select the best potential RAF officers and airmen, and provide initial training and career development training to the highest standards.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","43791391","1","N/A","","","Military","","1"
"1032872","N/D","OF-6","CMDT Air Cadets","The provision of adequate aviation and other challenging activities to enable the Air Cadet organisation to attract and retain membership and thereby provide example and leadership for the country’s youth.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","5375244","1","N/A","","","Military","","1"
"1071170","N/D","OF-6","Director Flying Training","To provide first-class courses covering everything from the fundamental skills of flying through to the successful operation of complex systems.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","41617407","1","N/A","","","Military","","1"
"1110541","N/D","OF-6","Director Defence College of Electro-mechanical Engineering","To deliver the required number of competent and highly motivated technicians and engineers to the Armed Forces.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","32781389","1","N/A","","","Military","","1"
"1664263","Eliminated","OF-6","Commandant Defence College of Communication and Information Systems","Provides the governance for the delivery of Army, RAF and RN Communication Information Systems training. It also initiates and delivers training and organisational change to support the delivery of training to Servicemen and women who deliver information and communication services on, and in support of, operations.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","N/A","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071072","0","1","N/A","","","Military","Downgraded to OF5 - Due to restructuring.","1"
"1463923","N/D","OF-6","Assistant Chief of Staff Capability","To develop coherent and coordinated policies and plans, consistent with the RAF Strategic Vision, which enable Air Command to deliver its outputs now and in the future.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1463923","1120858","1","N/A","","","Military","","1"
"1682702","N/D","OF-6","Director of JFACHQ","To generate and sustain a responsive, agile, adaptable and fully capable JFACHQ for the command and control of expeditionary joint air operations in order to realise the RAF vision.","Ministry of Defence","Ministry of Defence","Royal Air Force Air Command","01494 496137","Air-CmdSecBusMgmtTeamGpMailbox@mod.uk","1071926","10442815","1","N/A","","","Military","","1"
