"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1639288","Major General B Brealey","OF-7","Director General Change Programme","Bring greater coherence to the wide range of C2 change projects by establishing the Army C2 Change Programme. Furthermore, produce the detailed plan for Germany Re-basing Preliminary Moves out to 2015, and the Army’s FF2020 basing requirement out to 2020.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/D","","","Military","","1"
"1601318","N/D","OF-6","Director Plans","To direct LAND Forces forward planing, force development, organisational change, resource planning and use information as a resource.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1162954","N/D","1.00","N/D","","","Military","","1"
"1601327","Lieutenant General B W B White-Spunner CBE","OF-8","Commander Field Army","Comd Field Army is to exercise OPCOM of the Field Army and designated forces for war and other operations in order to provide the required level of military capability in the right place, at the right time in the most cost effective manner.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1598314","2574487","1.00","125000","129999","","Military","","1"
"1601441","N/D","OF-6","Chief of Staff Field Army","Direct and coordinate force preparation, Manpower, Equipment, Training and Sustainability (METS). Support delivery of LF onto a campaign footing (OP ENTIRETY). Ensure policy affecting the Field Army is disseminated effectively, consistently interpreted and implemented. Improve Air/Land Integration. In order to deliver appropriately trained equipped, supported and motivated force elements and individuals on operations and at readiness on an enduring basis.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1601327","587156","1.00","N/D","","","Military","","1"
"1601488","N/D","OF-6","Director Commitments","The Commitments Directorate (Cts Dir) has 3 branches: Counter-Terrorism & United Kingdom Operations (CT & UK Ops), which includes the Standing Joint Commander UK (SJC(UK)); Counter-Improvised Explosive Devices (C-IED); and Operations Commitments (Ops Cts).","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1601327","N/D","1.00","N/D","","","Military","","1"
"1227878","Major General J I Bashall CBE","OF-7","General Officer Commanding 1 (UK) Armoured Division","Contribute to the delivery of Op ENTIRETY to ensure optimal contribution, in all aspects, towards the successful execution of a COIN campaign in Southern Afghanistan. Prepare force elements and individuals for current operations, primarily Afghanistan, and readiness within allocated resources. As directed, contribute to the correct allocation of in-service equipment capability to enable Force Preparation and Generation; manage and maintain equipment allocated to 1 (UK) Div. As directed, deliver the required collective training for all Force Elements assigned to 1 (UK) Div. Improve our service to families, especially during periods when a family member is deployed on operations. Confirm understanding of leadership and discipline standards. Increase and enhance the deployability of soldiers within 1 (UK) Div. When required, allocate Force Elements in support of Army Interoperability and International Security Activities.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1601327","381752295","1.00","N/D","","","Military","","1"
"1167986","N/D","OF-6","Commander 7 Armoured Brigade","Comd 7 Armd Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 7 Armd Bde. Increase and enhance the deployability of soldiers within 7 Armd Bde.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1227878","0","1.00","N/D","","","Military","","1"
"1169246","N/D","OF-6","Commander 20 Armoured Brigade","Comd 20 Armd Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 20 Armd Bde. Increase and enhance the deployability of soldiers within 20 Armd Bde.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1227878","0","1.00","N/D","","","Military","","1"
"1229309","N/D","OF-6","Commander Artillery 1 (UK) Division","Comd Arty 1 (UK) Div is to command OPCOM troops, prepare and deliver force elements within the Divisional Artillery Group and facilitate the planning and delivery of all Fires and Influence activity within 1 (UK) Div.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1227878","N/D","1.00","N/D","","","Military","","1"
"1172125","Maj Gen J G Lorimer DSO MBE","OF-7","General Officer Commanding 3 (UK) Division","Contribute to the delivery of Op ENTIRETY to ensure optimal contribution, in all aspects, towards the successful execution of a COIN campaign in Southern Afghanistan. Prepare force elements and individuals for current operations, primarily Afghanistan, and readiness within allocated resources. As directed, contribute to the correct allocation of in-service equipment capability to enable Force Preparation and Generation; manage and maintain equipment allocated to 3 (UK) Div. As directed, deliver the required collective training for all Force Elements assigned to 3 (UK) Div. Improve our service to families, especially during periods when a family member is deployed on operations. Confirm understanding of leadership and discipline standards. Increase and enhance the deployability of soldiers within 3 (UK) Div. When required, allocate Force Elements in support of Army Interoperability and International Security Activities.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1601327","728452074","1.00","N/D","","","Military","","1"
"1223786","N/D","OF-6","Commander 1 Mechanised Brigade","Comd 1 Mech Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 1 Mech Bde. Increase and enhance the deployability of soldiers within 1 Mech Bde.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1172125","635712","1.00","N/D","","","Military","","1"
"1169362","N/D","OF-6","Commander 4 Mechanised Brigade","Comd 4 Armd Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 4 Armd Bde. Increase and enhance the deployability of soldiers within 4 Armd Bde.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1172125","96027","1.00","N/D","","","Military","","1"
"1140683","N/D","OF-6","Commander 12 Mechanised Brigade","Comd 12 Mech Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 12 Mech Bde. Increase and enhance the deployability of soldiers within 12 Mech Bde.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1172125","526724","1.00","N/D","","","Military","","1"
"1215776","N/D","OF-6","Commander 19 Light Brigade","Comd 19 Lt Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 19 Lt Bde. Increase and enhance the deployability of soldiers within 19 Lt Bde.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1172125","687409","1.00","N/D","","","Military","","1"
"1172331","N/D","OF-6","Commander Artillery 3 (UK) Division","Comd Arty 3 (UK) Div is to command OPCOM troops, prepare and deliver force elements within the Divisional Artillery Group and facilitate the planning and delivery of all Fires, Targeting and Air-Land Integration activity within 3 (UK) Div.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1172125","N/D","1.00","N/D","","","Military","","1"
"1151649","Major General S A Burley MBE","OF-7","General Officer Commanding Theatre Troops","Th Tps is responsible for the provision of Combat Support (CS) and Combat Service Support (CSS) operations world-wide in support of the UK’s Defence Strategy. GOC Theatre Troops commands approximately 32,000 regular and reserve personnel, and a further 1100 civil servants.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1601327","578044059","1.00","N/D","","","Military","","1"
"1242034","N/D","OF-6","Commander 8 Force Engineer Brigade","Comd 8 Force Generates the C-IED TF, MSSG, RE support to HQ AIR, the RE Works Gp and co-ordinates the training for the Engr Gp for HERRICK. Much of this is beyond OPCOM units. He is also CRE Fd Army and Standing Joint Force Engr in PJHQ.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","3979247","1.00","N/D","","","Military","","1"
"1260044","N/D","OF-6","Commander 1 Signals Brigade","Comd 1 Sig Bde is to command Operational Command troops, and prepare and deliver Command Support and General Support Communication Information Systems to Headquarters Allied Rapid Reaction Corps in order to contribute towards the UK military commitment to NATO.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","1673072","1.00","N/D","","","Military","","1"
"1149069","N/D","OF-6","Commander 2 Signal Brigade","Comd 2 Sig Bde is to deliver specialist Information Communication Services at endorsed readiness in order to enable effective command and control of Expeditionary, OGD and UK Operations.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","4064048","1.00","N/D","","","Military","","1"
"1266346","N/D","OF-6","Commander 11 Signals Brigade","Comd 11 Signal Brigade commands and FORGEN the 5 x Campaign Signal Regiments for HERRICK; EWSI capability for HERRICK and contingent ops; and Level 3 technical support for worldwide Army CIS and Log NEC capability. In addition the Bde delivers complex CIS projects onto operations and provides CIS support to PDT for HQ TFH and its BGs as well as JFSp(A).","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","723625","1.00","N/D","","","Military","","1"
"1484098","N/D","OF-6","Commander 101 Logistics Brigade","Comd 101 Log Bde is to command OPCOM troops and prepare, maintain and when ordered, deploy designated Force Elements in order to provide Joint Force Suppport and, if necessary, Land Component 3rd Line Logistic capability.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","1119698","1.00","N/D","","","Military","","1"
"1167141","N/D","OF-6","Commander 102 Logistics Brigade","Comd 102 Log Bde is to command OPCOM troops and prepare, maintain and when ordered, deploy designated Force Elements in order to provide Joint Force Suppport and, if necessary, Land Component 3rd Line Logistic capability.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","967469","1.00","N/D","","","Military","","1"
"1217095","N/D","OF-6","Commander 104 Logistics Support Brigade","Comd 104 Log Sp Bde is to command OPCOM troops and prepare, maintain and when ordered, deploy designated Force Elements in order to provide Joint Force Suppport and, if necessary, Land Component 3rd Line Logistic capability.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","1659045","1.00","N/D","","","Military","","1"
"1474760","N/D","OF-6","Commander 2 Medical Brigade","2 Med Bde is to: a. Op ENTIRETY. Contribute to the optimal delivery of Op ENTIRETY in order to ensure the sucessful execution of the COIN campaign in Afghanistan. b. Force Generation. Prepare Force Elements and individuals for current operations, primarily Afghanistan, and readiness within allocated resources.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1151649","3047167","1.00","N/D","","","Military","","1"
"1596792","Air Vice-Marshal C Dixon CB OBE","OF-7","Commander Joint Helicopter Command","Provide designated Force Elements to conduct and support operations in pursuit of the UK’s Defence Aim.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1598314","248947669","1.00","N/D","","","Military","","1"
"1599388","N/D","OF-6","Deputy Comd Joint Helicopter Command","JHC provides battlefi eld helicopter (BH) and air assault force elements to conduct and support operations within designated readiness and capabilities, in order to support the UK’s Defence strategy. The JHC commands all the BH of the Royal Navy, Army and Royal Air Force, operating over 250 aircraft including the Sea King and Lynx helicopters of the Royal Navy’s Commando Helicopter Force; the Chinook, Puma and Merlin helicopters of the Royal Air Force and the Apache, Lynx, Gazelle and Bell 212 helicopters and the Islander fi xed wing aircraft of the Army Air Corps.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1596792","9766182","1.00","N/D","","","Military","","1"
"1596498","N/D","OF-6","Director Developemnt/Director Army Aviation Joint Helicopter Command","As Director Development and Director Army Air Corps, Brigadier David Short is responsible for all future planning and developments of the JHC ranging from Front Line Operations to Exercises in the UK. As professional head of the AAC, Brig Short is responsible for the values, ethos, image (including media) and general well-being of the AAC. DAAvn is to give direction and professional advice on Army Aviation (AAvn) and AAC matters; act as the CAA&I and to be the Release to Service Authority (RTSA) for all Army aircraft, in order to sustain the delivery of military aviation capability in pursuit of the UK’s Defence aim.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1596792","N/D","1.00","N/D","","","Military","","1"
"1221027","N/D","OF-6","Commander 16 Air Assault Brigade","Comd 16 Air Assault Bde is to command OPCOM troops and prepare and deliver force elements in role in order to contribute to the Land Command and UK Defence capability. As directed, deliver the required collective training for all Force Elements assigned to 16 Air Assault Bde. Increase and enhance the deployability of soldiers within 16 Air Assault Bde.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1596792","1519853","1.00","N/D","","","Military","","1"
"1591926","Lieutenant General P R Newton CBE","OF-8","Commader Force Development and Training","Commander FDT is to optimise the delivery of Army capability in order to ensure success on operations now and in the future.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1598314","11616396","1.00","125000","129999","","Military","","1"
"1591929","N/D","OF-6","Chief of Staff Force Development and Training","Direct and coordinate the staff output within HQ FDT to optimise the the delivery of Army capability through cohernet support to subordinate and superior organisations.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1591926","3749880","1.00","N/D","","","Military","","1"
"1605168","N/D","OF-6","Director Training","D Trg(A) provides the Army Staff’s 1* focal point for the Training Line of Development.  Part of HQLF, D Trg(A) comprises of 4 staff branches: Individual Training, Training Development, Training Capability and Collective Training.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1591926","231788","1.00","N/D","","","Military","","1"
"1603839","Major General P W Jaques","OF-7","Director General Logistics, Support and Equipment","DG LS&E is to manage the Army's Equipment Capability through life in order to support current and future operations. Main Effort: Ensuring that our operational commanders are resourced with the equipment capability that they need to succeed.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1591926","1050142","1.00","N/D","","","Military","","1"
"1605127","N/D","OF-6","Head Information Superiority","The Directorate is the focal point for all ISTAR policy, planning, doctrine, training and equipment capability matters within LF. The Directorate also acts as the single Army authority for the provision of policy, direction and professional advice to PJHQ, MOD and other service commands on both G2 and ISTAR issues within the Land Environment. The Directorate focuses on delivering coherent ISTAR capability for the Current Operating Environment and offers Land subject matter expertise to Defencewide ISTAR programmes that will deliver enduring capabilities. The G2 Ops team ensures the effective delivery of intelligence on political and military developments in operational areas, and those areas where developing situations could lead to the involvement of British Forces within LF. The G2 Security team ensures the effective delivery of security related developments to CinC LF. This is done by providing LF input to emerging security doctrine and technology as it affects the Field Army and addressing both counter intelligence and personnel security issues.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1603839","N/D","1.00","N/D","","","Military","","1"
"1604346","N/D","OF-6","Director Logistics","D Log (A) is the Army’s 1* Logistic Proponent and lead for all logistic policy and plans, logistic support, and CSS operational capability matters, including assurance, in order to support the provision of Force Elements (FE). This is delivered from 4 x branches, each headed by an AD: Log Pol and Plans; CSS Ops; Log Sp and PATO.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1603839","N/D","1.00","N/D","","","Military","","1"
"1604479","N/D","OF-6","Director Equipment","The Equipment Directorate’s mission is to equip and support the force now and in the future in order to allow it to train and fight. It is the lead on UOR and Equipment Plan capability integration and achieves its objectives through the coordinated efforts of three branches, each headed up by an Assistant Director.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1603839","N/D","1.00","N/D","","","Military","","1"
"1272850","Major General R R Davis CBE","OF-7","Director General Army Recruiting and Training","Deliver the required number of appropriately trained and motivated officers and soldiers in order to meet the current and future operational requirements of the Army and Defence.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1591926","205295172","1.00","N/D","","","Military","","1"
"1167722","N/D","OF-6","Director Recruit Training (Operations)","Plan and execute, on behalf of CRF, the Army’s national recruiting campaign. Provide functional support and co-ordination to the regional chain of command executing the regional element of the Army’s national recruitment campaign. Deliver the required number of appropriately trained and motivated service personnel. Direct and manage the recruiting, development, selection and training pipeline.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1272850","0","1.00","N/D","","","Military","","1"
"1212786","N/D","OF-6","Commander Defence College of Logistics & Personnel Administration","Deliver integrated logistic support and personnel administration training to all four services to the quantity and standards directed by the TDA and TRA in order to support the operational requirements of Defence. Furthermore, Garrison Commander for Deepcut, Pirbright and Mychett.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1272850","28167012","1.00","N/D","","","Military","","1"
"1261026","N/D","OF-6","Commander Initial Training Group","Mission. Train Regular and TA soldiers to the quantity and standards directed by the Training Delivery Authority (TDA) and the Training Requirements Authority (TRA) in order to prepare them for Phase 2 training. Initial Training Group delivers relevant, progressive, challenging and safe training for Regular and TA soldiers, facilitating their successful transition to Phase 2 training. Through Values Based Leadership by inspirational Permanent Staff, we lay the foundations of military character in our Soldiers under Training. By contextualising the Soldiers’ education and training, we prepare them both for Phase 2 training and subsequent operations in Afghanistan.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1272850","6118365","1.00","N/D","","","Military","","1"
"1538780","N/D","OF-6","Commandant Royal School of Military Engineering","The Royal School of Military Engineering (RSME) provides training in all engineering disciplines, which provide the unique range of skills that are fundamental to the Military Engineer as well as delivering Military working animals, handlers and maintainers. Military Engineer skills include the command and management of engineer tasks, combat engineering, artisan, technical and professional engineering, communication, watermanship and driving specialist engineer vehicles.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1272850","3938686","1.00","N/D","","","Military","","1"
"1448299","N/D","OF-6","Commandant School of Infantry","Mission: “To deliver trained officers and soldiers in accordance with the statement of training requirement in order to support the operational requirements of the Army and defence”. The School of Infantry (Sch of Inf) trains and qualifies officers, warrant officers, non-commissioned officers, other ranks, and recruits for the Infantry and wider Army in battlefield leadership and dismounted close combat. It does this in three principal establishments: The Infantry Training Centre at Catterick, the Infantry Battle School at Brecon, and the Support Weapons School at Warminster.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1272850","7067864","1.00","N/D","","","Military","","1"
"1232962","Major General N P Carter CBE","OF-7","Director General Land Warfare","DGLW is to develop and direct land environment tactical thinking, and construct CT3 - CT6 Combined Arms Hybrid Foundation Training (HFT) and further Mission Specifi c Training (MST) in order to optimise force preparation for current and future operations.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1591926","86888301","1.00","N/D","","","Military","","1"
"1614114","N/D","OF-6","Director Force Development","Provide a rationale and evidence base to inform future force development. Produce a capstone vision of how UK forces will fight and operate in 2015-2045, to inform future land warfare development. With DGLW, create and institutionalize a pan Army experimental programme (AGILE WARRIOR) to provide an evidence base to set priorities for land force transformation.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","N/D","1.00","N/D","","","Military","","1"
"1226744","N/D","OF-6","Commander Collective Training Group","CTG is to deliver to the Field Army and others the most effective education, training and training support within resources in order to prepare force elements to succeed on current, contingent and future operations. It is also to deliver a coherent and relevant training progression across the Collective Training Establishments (CTEs), and fulfil responsibilities for the construct and refine functions of collective training in accordance with Collective Training Governance.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1272850","3355439","1.00","N/D","","","Military","","1"
"1002473","N/D","OF-6","Commander Land Warfare Development Group","LWDG is to support, analyse, experiment and develop Fd Army capabilities in order to contribute to operational effectiveness in Epoch 1 and guide and inform development of the Fd Army in Epochs 2 to 4.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","760839","1.00","N/D","","","Military","","1"
"1228936","N/D","OF-6","Brigadier Operational Law","OLB is based at the Land Warfare Centre led by an ALS brigadier. It delivers legal support and training on operational and international law and provides legal support on operations.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","N/D","1.00","N/D","","","Military","","1"
"1296288","N/D","OF-6","Director Royal Armoured Corps","DRAC is to provide coherence across the DLoDs, through the provision of policy, direction and professional advice to the Army and Defence on Mounted Close Combat, Ground Mounted Manned Reconnaissance, HCav/RAC issues, All Arms AFV Technical Training and CBRN Defence in order to sustain the delivery of military capability from the Army now and in the future. DRAC is also the lead proponent for CBRN.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","1623360","1.00","N/D","","","Military","","1"
"1235458","N/D","OF-6","Director Royal Artillery","DRA is to provide coherence across DLoDs, through the provision of policy, direction and professional advice (including CAA&I) to the Army and Defence on artillery1, in order to sustain the delivery of military capability from the Land Component, both now and in the future. DRA provides advice to the chain of command on force generation and the programming of force elements against the Operational Commitments Plot. Concurrently, DRA contributes to the development of the capability required for future confl ict, across all LoDs, whilst providing subject matter expertise in support of UORs. DRA owns the Royal Artillery’s liability, managing it across 16 regular and 7 territorial units, with responsibility for recruiting to it, and for setting manning priorities. Furthermore, DRA promotes the standards, values and military ethos of the Royal Artillery, and safeguards its heritage through the Royal Artillery Institution. DRA is also the proponent for terminal control issues for all Joint Fires systems (inc mortars and Forward Air Controllers, but not indirect tank gunfi re), airspace management within battlespace management, and targeting mensuration and geolocation.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","1143415","1.00","N/D","","","Military","","1"
"1201597","N/D","OF-6","Engineer in Chief (Army)","EinC(A) is to provide coherence across the DLoDs, through the provision of policy, direction and professional advice to the Army and Defence on all Military Engineer (ME) and Royal Engineer (RE) matters in order to sustain the delivery of military capability from the Army both now and in the future.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","1221412","1.00","N/D","","","Military","","1"
"1443914","N/D","OF-6","Signals Officer in Chief (Army)","SOinC(A) is to promote excellence in Army signalling and Electronic Warfare and to improve operational effectiveness by developing the Land Environment Command Support capability, principally in order to deliver success in Afghanistan, but also a capability for likely contingencies and other subsequent hybrid operations.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","1787379","1.00","N/D","","","Military","","1"
"1442314","N/D","OF-6","Director Infantry","D Inf is to provide coherence across the DLODs, through the provision of policy, direction and professional advice to the Army and Defence on Dismounted Close Combat and Infantry issues in order to sustain the delivery of military capability in the Land environment both now and in the future. D Inf is the Competent Army Authority (CAA) and Training Requirements Authority (TRA) for Dismounted Close Combat, Skill at Arms, Military Capacity Building (MCB), Pyrotechnics, WARRIOR, BULLDOG, PPV, FRES and UV, and the proponent for Arms Drill. D Inf also provides assurance of training (distributed) and 1st party audit of TRA/Training Delivery Authority (TDA) training assurance activities.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1232962","6689562","1.00","N/D","","","Military","","1"
